ID,Date,Company,Title,Description,Function,Link,Link_picture
2565656546,2021-05-31,The Estée Lauder Companies Inc.,Intern Program,"¡En The Estée Lauder Companies, hemos abierto nuevamente la etapa de postulaciones para ser parte de un programa de prácticas personalizado!

Hoy tenemos nuevas oportunidades en distintas áreas y marcas de la Compañía:

Online/Digital

Marketing (MAC, Bobbi Brown, ADF& Jo Malone London, Clinique)

Retail & Sales

¿Qué esperamos de ti?:  Tu compromiso, entrega, motivación, conocimientos frescos y ganas de aprender.

¿Nosotros?: Queremos entregarte un grato acercamiento al mundo laboral y ser parte de tu desarrollo profesional, acompañándote en el camino y brindándote las herramientas que creemos necesarias para enfrentar al mundo laboral actual.

Requisitos: 

Disponibilidad de 6 meses a partir de Julio

Contar con Seguro Escolar durante el período que dure la práctica

Que te guste la industria

Querer dar lo mejor de sí, hambre de conocimiento y ganas de dejar huella. 

¡Te invitamos a ser parte de nuestra ELC Family!","Marketing, Finanzas, Ventas",https://cl.linkedin.com/jobs/view/intern-program-at-the-est%C3%A9e-lauder-companies-inc-2565656546?refId=xZxCYK6f2GIlmYnI54nF1Q%3D%3D&trackingId=dBRqbAAVdHzudsyDL5I4uQ%3D%3D&position=1&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,https://media-exp3.licdn.com/dms/image/C4E0BAQFex69Y26uzhg/company-logo_100_100/0/1607447361373?e=1631145600&v=beta&t=WV75_MEPu22I8zZ5MRzHX9P7RFhDADW6yHSVUqq9Az8
2567385714,2021-05-26,DiDi,Public Relations Intern,"Our Public Relations department is looking for an intern with a high level of performance, interested in corporate communications and digital PR.

Activities:

 The role will be responsible for supporting the development and implementation of PR strategies related to core pillars of the company. 

Collaborate with other areas on 360º campaigns.

Develop reports and relationship plans with key stakeholders.

The Successful Applicant:

Eighth-semester student of social communication and journalism, with self-motivation and passion for learning about corporate communications in a tech company.

Special interest in creating content for traditional and digital media

Critical thinking, pro activity, willingness to learn, and strong interest in the mobility industry.

Good interpersonal skills and attention to details.

Good writing

English fluency, both written and verbal

Ability to work effectively from home.","Relaciones públicas, Redacción y revisión",https://cl.linkedin.com/jobs/view/public-relations-intern-at-didi-2567385714?refId=xZxCYK6f2GIlmYnI54nF1Q%3D%3D&trackingId=cTPCf5u0RvdWRh9rJdYasg%3D%3D&position=2&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,https://media-exp3.licdn.com/dms/image/C560BAQFPGanTrZGjGA/company-logo_100_100/0/1618814494986?e=1631145600&v=beta&t=dckYTlG-aGkKWQrlRvIWkpvsuNhOwy1P-3eXmRmW2Zw
2577531079,2021-06-04,McKinsey & Company,Intern - Professional Development,"Qualifications

Current student focused on business administration, HR or related field

Administrative experience in a corporate or professional services environment is preferred

Solid knowledge of Excel

Very good English language skills

Solid knowledge of Windows and Notes applications

Collaborative style and the willingness to help others

What You'll Do

You will focus on supporting Professional Development (PD), recruiting and learning activities, working with teams and management across practices.

You will be in close contact with our local PD Specialist to administer the planning, organizing, and execution of office-based and off-site training programs and events.

You will assist with data analysis and reporting needs, support the professional development-related processes and activities, and perform a range of administrative tasks, including scheduling, clerical support, and database management.

Additionally, you'll support planning and participation in firm learning programs and develop and manage participant pipelines. You'll also coordinate new hire training requirements.

Who You'll Work With

You will work in Santiago (Chile) as part of our Professional Development team. The daily hours and length of the internship contract will be determined according to local legal requirements.

Our Professional Development team in LatAm has grown rapidly over the past 5 years and now has over 250 colleagues across 32 different performance cells including industry and functional practices, a large geographic research team, advance and geospatial analytics. Growth has also occurred in terms of breadth of services offered, and also level of complexity and sophistication of capabilities.","Educación, Formación",https://cl.linkedin.com/jobs/view/intern-professional-development-at-mckinsey-company-2577531079?refId=xZxCYK6f2GIlmYnI54nF1Q%3D%3D&trackingId=k7JbtlHSrjnSAphfjBgpjw%3D%3D&position=3&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,https://media-exp3.licdn.com/dms/image/C4D0BAQEdH7odsEpdcA/company-logo_100_100/0/1622553627112?e=1631145600&v=beta&t=CVySWQVPPXk3l9KvwJGPx4jO4A0_LsW0DmyItBJUziU
2568815089,2021-05-15,Merlin Labs,Summer 2021 Internship,"About Us

Merlin is an early stage, stealth autonomy company, building software to control sophisticated transportation systems. Our mission here at Merlin Labs is to develop hardware and software solutions that deliver the capability for aircraft to fly useful missions autonomously and safely. Our first product will be a certified system to bring automation to existing fixed wing aircraft!

We’re backed by some of the top institutional venture capitalists in the country, our headquarters are located in Boston with hubs in Denver, Los Angeles and the Mojave Desert. Come join our diverse, world class team, made up of people from places like Google, Airbus, Boeing, UTC, the US Navy, and the US Air Force.

All of the sky, none of the limits!

The Role

Help us develop a limited-domain natural language understanding and dialog system. Depending on your interests, you may work on one or more of the following problems:

 

Develop a location-aware statistical language model / knowledge base

 

Simulate spoken dialog, to both challenge and train the NLU system

 

Create and test new and existing algorithms to couple speech recognition, location-specific knowledge, and semantic interpretation

 

Qualifications

Currently enrolled in a Masters or PhD program studying NLP

 

Familiarity with current natural language technologies, including neural ASR such as Wav2Letter, and large language models in the family of BERT, XLNet, and GPT

 

Good understanding of machine learning techniques such as model fine-tuning/adaptation, multi-task learning, and their application to natural language problems

 

Merlin Labs offers an innovative, entrepreneurial, and team-focused startup environment. Merlin Labs is an equal opportunity employer and values diversity. We do not discriminate on the basis of race, religion, color, national origin, sex, gender, gender expression, sexual orientation, age, marital status, veteran status or disability status. All job offers are contingent upon the candidate passing background, export control and reference checks.

Merlin Labs does not accept unsolicited resumes from any source other than directly from candidates.

By submitting your interest in this job, you agree to receive text notifications with additional steps to complete your job application. You will receive up to 6 messages from the number ""63879"". Message & data rates may apply. Please refer to our privacy policy for more information.","Educación, Formación",https://cl.linkedin.com/jobs/view/summer-2021-internship-at-merlin-labs-2568815089?refId=xZxCYK6f2GIlmYnI54nF1Q%3D%3D&trackingId=zHOSCwpSiuhfzXxyBjhddw%3D%3D&position=4&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,https://static-exp1.licdn.com/sc/h/9rxpcj33wtsq3w7nxb3u3ku6e
2517776531,2021-05-05,Procter & Gamble,Marketing Internship,"P&G was founded over 180 years ago as a simple soap and candle company. Today, we’re the world’s largest consumer goods company and home to iconic, trusted brands that make life a little bit easier in small but meaningful ways. We’ve spanned three centuries thanks to three simple ideas: leadership, innovation and citizenship.

The insight, innovation and passion of hardworking teams has helped us grow into a global company that is governed responsibly and ethically, that is open and transparent, and that supports good causes and protects the environment. This is a place where you can be proud to work and do something that matters.

At P&G, we offer you an exciting internship program where from DAY 1 you will have commitments and develop different and relevant projects. If you are a leader, who prioritize, honor commitments, and to work efficient with a diverse group of people, you need to be part of our internship program!

As a P&G Marketing Intern, You Will

Co-leading a new launch or evaluating the current strategies of a brand or product.

Leading monthly market & brand analysis, capture input of multi-functional team to recommend corrective actions for a specific category/initiative

Working on the design & execution of brand campaigns (media, digital, CRM, instore, PR). Lead campaigns briefs (regional campaign localization or local campaign build up) & follow up on execution

Co-leading the digital marketing on your brand (visibility, content, local partnerships, eCommerce etc).

Co-developing Market and Initiative Reviews. Coordinate internal events.

Benefits

Monthly gross salary of 712,000.00 CLP

Employment contract for the duration of the practice

High impact projects

Excellent work environment and organizational culture.

Flexible hours (20-40 hours per week)

Monetary contribution for People of Regions

Activities of our wellness program

Why

work

at

P&G?

The development of our talents is a priority - we have a culture of growth and internal promotion that differentiates us. We demonstrate the strengths of our employees and develop them to become great leaders, reaching the highest levels of management. In addition, diversity is very important for us: we seek the most diverse talent so that we always know how to innovate, exceeding the expectations of our 5 billion consumers. Therefore, working at this company is the best opportunity to do what you love, with constant challenges and to be recognized for its results. More than that, it's the ideal opportunity to help us touch and improve billions of lives around the world, every single day. University students – Marketing internship

Qualifications

Requirements

Legally eligible to work in Chile.

Intermediate / advanced level of English.

Active student in his/her senior year of study (6-18 months until graduation).

Availability of at least 6 months","Marketing, Ventas",https://cl.linkedin.com/jobs/view/marketing-internship-at-procter-gamble-2517776531?refId=xZxCYK6f2GIlmYnI54nF1Q%3D%3D&trackingId=srK4%2FsiJcyvSZPPdWYc8mQ%3D%3D&position=5&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,https://media-exp3.licdn.com/dms/image/C4E0BAQGMf2S5oM84FQ/company-logo_100_100/0/1611066356544?e=1631145600&v=beta&t=x_DeQ9hMOnWX0LXxN4YqTV77xD_r0cVt7llqD0JBFLY
2575387413,2021-06-05,IBM,Programa de prácticas en desarrollo - Segundo Semestre 2021,"Introducción

En IBM, el trabajo es más que un trabajo, es una vocación: Construir. Diseñar. Codificar. Consultar. Pensar con los clientes y vender. Crear mercado. Inventar. Colaborar. No solo para hacer algo mejor, sino para intentar cosas que nunca creyó posibles. Estar al frente en esta nueva era de la tecnología y resolver algunos de los problemas más exigentes del mundo.

Su función y responsabilidades

¡IBM Chile te invita a ser parte de nuestro equipo!

En IBM buscamos estudiantes avanzados en las carreras de Sistemas, Informática y Electrónica con conocimientos en programación y bases de datos para unirse a nuestro Programa de Estudiantes para desarrollarse en el mundo de la consultoría.

No solo aprenderás sino que también marcarás la diferencia en soluciones de alto impacto en nuestros proyectos. Aprenderás cosas nuevas como un continuo y crecerás en tu carrera sin límites.

En IBM, encontrarás una gran cantidad de oportunidades para crear la carrera que siempre imaginaste como desarrollador / desarrolladora.

En el camino, aprenderás nuevas tecnologías e industrias en un formato “práctico”, podrás construir, diseñar, codear y pensar con los clientes en entornos dinámicos con metodologías ágiles.

Buscamos estudiantes apasionados y originales que quieran impulsar el progreso, hacer crecer su red y dar sus primeros pasos en su carrera de desarrollo.

Si actualmente estás estudiando una carrera STEM, eres un apasionado/a de la tecnología y la programación, tienes seguro escolar durante 6 meses y estás buscando tu pasantía durante el segundo semestre del 2021, ¡deja de buscar porque este es el lugar!

¡Postula con nosotros ahora!

#YourNextMove, #DefinedByYou

Experiencia profesional y técnica necesaria

Ser un estudiante avanzado de carreras técnicas / universitarias tales como: analista programador, ingeniería informática, electrónica o a fin.

Tener seguro escolar por todo el tiempo que dura la pasantía.

Disponibilidad full time para una pasantía de 4 - 6 meses.

Ser un estudiante regular

Inglés intermedio

Conocimientos básicos de programación en java.

Experiencia profesional y técnica preferida

Ser un estudiante avanzado de carreras técnicas / universitarias tales como: analista programador, ingeniería informática, electrónica o a fin.

Tener seguro escolar por todo el tiempo que dura la pasantía.

Disponibilidad full time para una pasantía de 6 meses.

Ser un estudiante regular

Inglés avanzado

Conocimientos intermedios - avanzado de programación en java.

Acerca de la unidad de negocio

IBM Services es un equipo de consultores de negocios, estrategia y tecnología que diseñan, construyen y ejecutan sistemas y servicios fundamentales que son la columna vertebral de la economía mundial. IBM Services se asocia con las compañías líderes en más de 170 países para desarrollar negocios más inteligentes al reimaginar y reinventar a través de la tecnología, con sus metodologías centradas en los resultados, su portafolio líder en la industria y su experiencia en investigación y operaciones de primer nivel, lo que lleva a una innovación basada en resultados y una excelencia duradera.

Tu vida @ IBM

¿Qué es lo que le importa cuando está buscando su próximo reto profesional? Tal vez quiera involucrarse en un trabajo que realmente cambie el mundo. ¿Qué tal un lugar con oportunidades de desarrollo y carrera increíbles y diversas? Donde realmente pueda descubrir su pasión. ¿Está buscando una cultura de apertura, colaboración y confianza, donde todos tengan voz? ¿Y qué le parece todo ello a la vez? Si es así, entonces IBM podría ser su próximo reto profesional. Únase a nosotros, no para hacer algo mejor, sino para intentar cosas que nunca creyó posibles. Impacto. Inclusión. Experiencias Infinitas. Haga el mejor trabajo de su vida.

Acerca de IBM

IBM es una empresa líder en plataformas de nube y soluciones cognitivas. Reinventándonos sin descanso desde 1911, somos el empleador de consultoría y tecnología más grande del mundo, con más de 380.000 empleados que atienden a clientes en 170 países. Con Watson, la plataforma basada en datos de IA para la empresa, estamos construyendo soluciones basadas en la industria para solucionar problemas del mundo real.

Declaración de ubicación

Para obtener más información acerca de los requisitos de ubicación, hable con el reclutador después de que envíe su solicitud.

Siendo tu @ IBM

IBM se compromete a crear un ambiente diverso y se enorgullece de ser un empleador que promueve la igualdad de oportunidades. Todos los solicitantes calificados serán considerados para el puesto de trabajo sin importar suraza, color, religión, sexo, identidad o expresión de género, orientación sexual, origen nacional, genética, embarazo, discapacidad, edad, condición de veterano u otras características. IBM también se compromete con el cumplimiento de todas las prácticas de empleo justas en lo que respecta a la ciudadanía y el estado de inmigración.",Tecnología de la información,https://cl.linkedin.com/jobs/view/programa-de-pr%C3%A1cticas-en-desarrollo-segundo-semestre-2021-at-ibm-2575387413?refId=xZxCYK6f2GIlmYnI54nF1Q%3D%3D&trackingId=BW4AuihuIWBNhR3fXZf9fg%3D%3D&position=6&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,https://media-exp1.licdn.com/dms/image/C4D0BAQEjqi8YNMCCUw/company-logo_100_100/0/1622553093286?e=1631145600&v=beta&t=Cm3wME6GVmG6sI95lO2dzs1glzNbYoZX27BE01lGCsg
2496591395,2021-04-09,HP,HP Intern,"Responsibilities

Apprentice includes students working at hp who are enrolled in apprenticeship programs in association with their university. Typically used in countries where specialized apprenticeship programs exist. College Interns are university students who are working at hp during their study or in summer breaks between university semesters. College Intern is only used in selected countries where it is not the practice to differentiate based on academic year completed.

Education And Experience Required

Enrolled in University.","Educación, Formación",https://cl.linkedin.com/jobs/view/hp-intern-at-hp-2496591395?refId=xZxCYK6f2GIlmYnI54nF1Q%3D%3D&trackingId=R2FsFlPrhSA9vwXxjcJJ%2BA%3D%3D&position=7&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,https://media-exp3.licdn.com/dms/image/C4E0BAQE5ogfksGIFow/company-logo_100_100/0/1623050726756?e=1631145600&v=beta&t=mDWiTu0mpVMDnipwEBnGHGlwqMZVOJnm_NW38RRub88
2584514219,2021-06-04,United Nations,INTERN - STATISTICS,"Org. Setting and Reporting

The internship in the Social Statistics Unit, Statistic Division, ECLAC, Santiago will last 3 to 6 (2 min/6 max) months, depending on the needs of the Office. Candidates may be selected throughout the posting period, on an ""as-needed"" basis.

Vacancies available: 1

The Economic Commission for Latin America and the Caribbean is one of the five regional Commissions of the United Nations. It was founded in 1948 with the purpose of contributing to the region's economic and social development. Its mission includes the design, monitoring and evaluation of public policies and the provision of advisory services, expertise and training to Governments, as well as support for regional and international cooperation and coordination activities. Please visit our website at www.eclac.org for further information.

Responsibilities

Daily responsibilities will depend on the individual’s background and the internship period. Duties may include:

Update the perceptions indicators in CEPALSTAT, adding the data corresponding to the 2018 round of the Latinobarómetro Survey.

Review the 2018 Latinobarómetro survey questionnaire and database

Preparation of the syntax for the processing and loading of the perceptions indicators in CEPALSTAT

Competencies

Professionalism: Shows pride in work and in achievements; demonstrates professional competence and mastery of subject matter; is conscientious and efficient in meeting commitments, observing deadlines and achieving results; is motivated by professional rather than personal concerns; shows persistence when faced with difficult problems or challenges; remains calm in stressful situations. Takes responsibility for incorporating gender perspectives and ensuring the equal participation of women and men in all areas of work.

Planning& Organizing: Develops clear goals that are consistent with agreed strategies; identifies priority activities and assignments; adjusts priorities as required; allocates appropriate amount of time and resources for completing work; foresees risks and allows for contingencies when planning; monitors and adjusts plans and actions as necessary; uses time efficiently.

Accountability: Takes ownership of all responsibilities and honours commitments; delivers outputs for which one has responsibility within prescribed time, cost and quality standards; operates in compliance with organizational regulations and rules; supports subordinates, provides oversight and takes responsibility for delegated assignments; takes personal responsibility for his/her own shortcomings and those of the work unit, where applicable.

Education

To qualify for an internship with the United Nations Internship Programme, the following conditions must be met:

 Applicants must meet one of the following requirements: (a) be enrolled in a graduate school programme (second university degree or equivalent, or higher); (b) be enrolled in the final academic year of a first university degree programme (minimum Bachelor’s level or equivalent); or (c) have graduated with a university degree (as defined above) and, if selected, must commence the internship within a one year period of graduation.

 For this internship, studies in the area of statistics and/or social sciences is desirable.

Work Experience

No working experience is required to apply for the United Nations Internship Programme. Your training, education, advance course work or skills should benefit the United Nations during your internship.

For this internship, experience in public opinion surveys is desirable.

Languages

English and French are the working languages of the United Nations Secretariat.

Fluency in Spanish is required. Knowledge of English is required.

Assessment

Potential candidates will be contacted by the hiring manager directly for further consideration.

Special Notice

Interns are expected to work on a full-time basis (work five days per week; 35 hours) in the Division/Section to which they are assigned, but they may undertake flexible working arrangements, subject to certain conditions.

The internship is UNPAID. All costs of travel and accommodation, including living expenses, must be covered by the intern or any relevant sponsoring institution.

Interns shall not be eligible to apply for, or be appointed to, positions at the professional level and above for a period of six months following the end of their internship.

The Cover Note Must Include

A completed online application (Cover Note and Personal History Profile) is required. Incomplete applications will not be reviewed.

 Degree programme (What are you currently studying or what have you studied ?)

 Graduation Date (When will you graduate or when did you graduate from the programme?)

 List the IT skills and programmes that you are proficient in.

 List your top three areas of interest.

 Explain why you are the best candidate for this specific internship.

 Explain your interest in the United Nations Internship Programme.

In your online Personal History Profile, be sure to include all past work experiences, IT skills, and three references. Due to the high volume of applications received, ONLY successful candidates will be contacted. Applicants are encouraged to apply for internships which relate directly to their studies and/or skills and expertise. Applicants are asked to please indicate preferences which best match his/her suitability and do so carefully in order to enhance the value of the internship for both the intern and the receiving UN department.

A person who is the child or sibling of a staff member shall not be eligible to apply for an internship at the United Nations. An applicant who bears to a staff member any other family relationship may be engaged as an intern, provided that he or she shall not be assigned to the same work unit of the staff member nor placed under the direct or indirect supervision of the staff member. For purposes of this instruction, “child” means (i) the child of a staff member; (ii) the child of the spouse of a staff member (stepchild); and (iii) the spouse of a child of a staff member or a staff member’s spouse (son- or daughter-in-law). “Sibling” includes the child of both or either parent of a staff member and the child.

United Nations Considerations

According to article 101, paragraph 3, of the Charter of the United Nations, the paramount consideration in the employment of the staff is the necessity of securing the highest standards of efficiency, competence, and integrity. Candidates will not be considered for employment with the United Nations if they have committed violations of international human rights law, violations of international humanitarian law, sexual exploitation, sexual abuse, or sexual harassment, or if there are reasonable grounds to believe that they have been involved in the commission of any of these acts. The term “sexual exploitation” means any actual or attempted abuse of a position of vulnerability, differential power, or trust, for sexual purposes, including, but not limited to, profiting monetarily, socially or politically from the sexual exploitation of another. The term “sexual abuse” means the actual or threatened physical intrusion of a sexual nature, whether by force or under unequal or coercive conditions. The term “sexual harassment” means any unwelcome conduct of a sexual nature that might reasonably be expected or be perceived to cause offence or humiliation, when such conduct interferes with work, is made a condition of employment or creates an intimidating, hostile or offensive work environment, and when the gravity of the conduct warrants the termination of the perpetrator’s working relationship. Candidates who have committed crimes other than minor traffic offences may not be considered for employment.

Due regard will be paid to the importance of recruiting the staff on as wide a geographical basis as possible. The United Nations places no restrictions on the eligibility of men and women to participate in any capacity and under conditions of equality in its principal and subsidiary organs. The United Nations Secretariat is a non-smoking environment.

The paramount consideration in the appointment, transfer, or promotion of staff shall be the necessity of securing the highest standards of efficiency, competence, and integrity. By accepting an offer of appointment, United Nations staff members are subject to the authority of the Secretary-General and assignment by him or her to any activities or offices of the United Nations in accordance with staff regulation 1.2 (c). In this context, all internationally recruited staff members shall be required to move periodically to discharge new functions within or across duty stations under conditions established by the Secretary-General.

Applicants are urged to follow carefully all instructions available in the online recruitment platform, inspira. For more detailed guidance, applicants may refer to the Manual for the Applicant, which can be accessed by clicking on “Manuals” hyper-link on the upper right side of the inspira account-holder homepage.

The evaluation of applicants will be conducted on the basis of the information submitted in the application according to the evaluation criteria of the job opening and the applicable internal legislations of the United Nations including the Charter of the United Nations, resolutions of the General Assembly, the Staff Regulations and Rules, administrative issuances and guidelines. Applicants must provide complete and accurate information pertaining to their personal profile and qualifications according to the instructions provided in inspira to be considered for the current job opening. No amendment, addition, deletion, revision or modification shall be made to applications that have been submitted. Candidates under serious consideration for selection will be subject to reference checks to verify the information provided in the application.

Job openings advertised on the Careers Portal will be removed at 11:59 p.m. (New York time) on the deadline date.

No Fee

THE UNITED NATIONS DOES NOT CHARGE A FEE AT ANY STAGE OF THE RECRUITMENT PROCESS (APPLICATION, INTERVIEW MEETING, PROCESSING, OR TRAINING). THE UNITED NATIONS DOES NOT CONCERN ITSELF WITH INFORMATION ON APPLICANTS’ BANK ACCOUNTS.","Investigación, Análisis, Tecnología de la información",https://cl.linkedin.com/jobs/view/intern-statistics-at-united-nations-2584514219?refId=xZxCYK6f2GIlmYnI54nF1Q%3D%3D&trackingId=zsg3%2Ftuc57kWjKFwaoMIcQ%3D%3D&position=8&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,https://media-exp1.licdn.com/dms/image/C4D0BAQEJd9iXSB3aTQ/company-logo_100_100/0/1604441643356?e=1631145600&v=beta&t=wZvhujYPb-Nm5O0f3WE0v36Z8K9PUq5rR6zP5RjYwQY
2507866260,2021-05-28,Sonnedix,Asset Management Intern,"The Role:

Reporting to the Head of Asset Management, Chile, the Asset Management Intern will work with the asset management team to ensure the solar PV assets are meeting electricity production targets while controlling costs. The Intern will support the daily monitoring of the solar PV assets, performance analysis reporting and focusing the optimization of available resources across the asset stakeholders. The Intern will support business needs for technical due diligence requests and also work with the global Asset Management team on optimization initiatives.

The Asset Management Intern will ensure that the documentation register is complete for all plants, and monitor plant performance and issue detection, analysis and resolution on a daily, weekly and monthly basis. This includes reviewing the open issues list and escalating any issues if required. The Intern will evaluate plant data, identify improvement opportunities, and have the opportunity to lead the implementation of changes. The Intern will work with stakeholders, including contractors and suppliers to ensure warranties are upheld and O&M security providers. The Intern will work on a soiling study, standardizing the analysis tool and mapping assets throughout Chile.

Desirable Skills:

Preferably knowledge in Electrical/Energy engineering and the willingness to learn about solar PV power plants

Strong analytical, critical and structured thinking skills, with strong attention to detail

Good relationship-building and communication skills

Spanish and written and spoken English

Microsoft Office skills, plus knowledge of other relevant software (e.g. SCADA) is an advantage

Sonnedix welcomes applications from people of all backgrounds. We offer internships to give people from under-represented and minority groups an opportunity to gain valuable work experience in the solar sector. 

What we offer:

As the company grows, we offer the opportunity for you to grow with us through a wide range of training and development opportunities

Give back to the local communities through our comprehensive ESG agenda, volunteering days and charity events

Join a team that crosses functions and geographies through our off-site events, team socials and global celebrations

Coaching and mentoring opportunities

Options to work across functions and exposure to all parts of the growing business

Fantastic office environments

Be part of our drive to achieve sustainable growth and be carbon neutral by 2021

Sonnedix virtual gym classes every day and regular well-being seminars

We supply office equipment to make home-working environment as productive as possible, such as chairs, monitors, keyboards, lamps

Many more local benefits, specific to each country

About Us:

At Sonnedix, our purpose is to harness the power of the sun to build a bright future - for our company, our partners, our communities and our planet. Sonnedix develops, builds, operates and manages solar PV plants for the long term.

Our track record and financial strength enable us to build trusted relationships with customers and partners, to smartly expand the adoption of solar and play a vital role in the energy revolution. We are proud of our diverse team of experts, the clean energy we generate and to make a positive difference for the communities where we operate. Hear from some of our team about Sonnedix: https://www.sonnedix.com/careers

Please submit your CV in English

Not the role for you but interested in joining us? Visit our careers portal as we are growing fast: https://solaris-hr.secure.force.com/recruit","Ventas, Ingeniería",https://cl.linkedin.com/jobs/view/asset-management-intern-at-sonnedix-2507866260?refId=xZxCYK6f2GIlmYnI54nF1Q%3D%3D&trackingId=lfliUMg%2Bj79%2FCn9Q6OQEvg%3D%3D&position=9&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,https://media-exp1.licdn.com/dms/image/C4D0BAQGgqpPuPw9Yqw/company-logo_100_100/0/1520606943805?e=1631145600&v=beta&t=vymfBMLcgHdHwJExlm5XGHeuYMc4GbyEUSbgoq4Awlk
2531586681,2021-06-03,VTEX,Customer Excellence Intern,"ABOUT US

VTEX is the only multitenant commerce platform capable of unifying experiences in all sales channels. With a robust solution, scalable cloud infrastructure and powerful tooling, our platform accelerates the transformation of complex operations.

More than 3400 renowned companies of varying sizes and segments, with operations in 43 countries and in global expansion, have in VTEX the solution for the online sale of their products, among them major names such as Sony, Motorola, Walmart, Whirlpool, Coca-Cola, Stanley Black & Decker, and Nestlé.

Our Culture

TRUST TO BE TRUSTED: We trust each other without reservations and delegate our responsibilties continuously. To be trustworthy you need honesty, transparency and consistency in quality and performance. This bond is built upon exchange: trust to be trusted.

BUILD FOR COMMUNITY: It’s all about being ready to grow and reach new levels together. When you have a solid foundation, modular thinking and a scalable essence, you’re building for the community. We are global but we’re audacious enough to aim for the stars.

BE BOLD: Boldness is about challenging the status quo and not being afraid to make mistakes or take risks. We test new alternatives, walk into the unknown and explore possibilities no one thought about. To be bold is to apologize instead of asking for permission.

_

Responsabilidades

El Excellence practicante en VTEX actuará a través de llamados directos con el cliente final y socios del ecosistema, proporcionando la mejor experiencia para ellos.

Proveerá a nuestros clientes y partners con recomendaciones y guía táctica en el camino del comercio digital en el que VTEX cree, compartiendo conocimiento de manera constante y entendiendo las necesidades y características del producto y negocio.

El equipo de Excellence es la fuente de conocimiento relacionado al producto que es VTEX, por lo que deberá de ayudar a través de escenarios complejos para atender las mejores soluciones y en determinado caso, actuar como hub entre su equipo local y el equipo de Producto, formado por más de 300 profesionales de diferentes áreas.

Perfil

Aunque no creemos necesariamente en títulos, se valorará formación en ingeniería o conocimientos de carácter técnico.

Conocimiento de React, GraphQL, Node, JavaScript, CSS, HTML, API Rest y Webservices.

Pensamiento analítico y sistemático para diseñar soluciones simples a problemas complejos.

Comunicación clara, simple y amigable para transmitir fácilmente sus argumentos e ideas a cualquier audiencia.

Autogestión y automotivación para trabajar en un entorno con gran autonomía y jerarquía plana.

Experiencia previa en una o varias áreas del comercio digital (deseable pero no excluyente).

Inglés (deseable pero no excluyente).

Portugués (deseable pero no excluyente).

Beneficios

Horario flexible

Posibilidad de trabajo remoto

Y lo más importante ¡crecimiento a partir de conocimientos y desafíos interesantes en el mundo del eCommerce!

Estamos construyendo el futuro del comercio en linea, ¡ven a hacer la diferencia!

Lugar de Trabajo: Santiago, Chile.

APPLY FOR THIS JOB","Atención al cliente, Tecnología de la información",https://cl.linkedin.com/jobs/view/customer-excellence-intern-at-vtex-2531586681?refId=xZxCYK6f2GIlmYnI54nF1Q%3D%3D&trackingId=4%2BAA%2FcNhRs%2BkOBOn82oLbQ%3D%3D&position=10&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,https://media-exp3.licdn.com/dms/image/C4D0BAQGc_HOciYOIWQ/company-logo_100_100/0/1596483764423?e=1631145600&v=beta&t=S6mM96g0tYbW1_xuWmlueyblYNgh8uXDW47FeSDhxjU
